procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,school_id_clean,date_clean,vendor_clean,grain_clean,qty_kg_clean,cost_clean,cost_per_kg
MDM011468,24.03.2026,SCH0094,sharma traders pvt ltd,Dal,0.51,Sacks,"2,295/-",Due,SCH0094,,Sharma Traders,Dal,0.51,2295.0,4500.0
MDM006795,03-20-2026,SCH-0445,S. Agro Works,Rice,0.484,Sacks,968,PENDING,SCH0445,,S Agro Works,Rice,0.484,968.0,2000.0
MDM000829,2025/05/22,sch_0445,Kumar Supplies,RICE,42.2,kg,"Rs. 1,688",paid,SCH0445,2025-05-22,Kumar Supplies,Rice,42.2,1688.0,40.0
MDM009677,25-Jan-2026,SCH0201,Singh Brothers,Sarson Tel,48.4 kg,,5808,,SCH0201,,Singh Brothers,Sarson Tel,48.4,5808.0,120.0
MDM004339,2025/05/11,SCH0340,Goyal Enterprises,Oil,0.328,Bags,1967,paid,SCH0340,2025-05-11,Goyal Enterprises,Oil,0.328,1967.0,5996.951219512195
MDM007788,06-May-2025,SCH0018,Singh Agro,Oil,1.062,Sacks,6372,Pending,SCH0018,,Singh Agro,Oil,1.062,6372.0,6000.0
MDM008820,2026/01/26,SCH0419,Goyal Enterprises,Gehun,15.8 kg,,₹474,Due,SCH0419,2026-01-26,Goyal Enterprises,Wheat,15.8,474.0,30.0
MDM001458,29.12.2025,sch_0216,Sharma & Sons,Wheat,59.6,kg,1788,,SCH0216,,Sharma & Sons,Wheat,59.6,1788.0,30.0
MDM002665,2025/10/12,S0245,Kumar Supplies,Sarson Tel,0.382,Bags,2292,,SCH0245,2025-10-12,Kumar Supplies,Sarson Tel,0.382,2292.0,6000.0
MDM005509,03-Aug-2025,sch0023,Kumar Supplies,Lentils,,,"4,608/-",PENDING,SCH0023,,Kumar Supplies,Dal,0.0,4608.0,0.0
MDM000750,26.11.2025,0306,Kumar Supplies,Dal,,,"3,402/-",Paid,SCH0306,,Kumar Supplies,Dal,0.0,3402.0,0.0
MDM006299,2025/11/25,SCH-0566,goyal mill,Lentils,40,KG,3600,Due,SCH0566,2025-11-25,Goyal Mill,Dal,40.0,3600.0,90.0
MDM006692,2025/07/16,SCH-0476,Singh Agro,Oil,49600,Grams,"5,952/-",,SCH0476,2025-07-16,Singh Agro,Oil,49600.0,5952.0,0.12
MDM008599,2025-06-29,SCH0259,S. Agro Works,dal,35100,g,"₹3,159",Pending,SCH0259,,S Agro Works,Dal,35100.0,3159.0,0.09
MDM009422,12/03/2026,SCH-0187,Goyal Enterprises,Pulses,47.3 kg,,4257,Paid,SCH0187,,Goyal Enterprises,Dal,47.3,4257.0,90.0
MDM004886,07-29-2025,sch_0558,Singh Brothers,gehun,,,"1,329/-",Due,SCH0558,,Singh Brothers,Wheat,0.0,1329.0,0.0
MDM011213,19/03/2026,SCH0058,Singh Brothers,WHEAT,55.7 kg,,"₹1,671",PENDING,SCH0058,,Singh Brothers,Wheat,55.7,1671.0,30.0
MDM004194,29-Nov-2025,sch_0292,Goyal Enterprises,Cooking Oil,22.8 kg,,"2,736/-",PENDING,SCH0292,,Goyal Enterprises,Cooking Oil,22.8,2736.0,120.0
MDM008415,09.02.2026,sch_0511,Kumar & Co.,Cooking Oil,39200,Grams,4704,Due,SCH0511,,Kumar & Co,Cooking Oil,39200.0,4704.0,0.12
MDM009246,11-Jun-2025,SCH0342,sharma traders pvt ltd,Chawal,,,Rs. 820,Paid,SCH0342,,Sharma Traders,Rice,0.0,820.0,0.0
MDM007888,2025-10-18,SCH0098,Singh Brothers,Wheat,57.9,Kgs,1737,paid,SCH0098,,Singh Brothers,Wheat,57.9,1737.0,30.0
MDM009609,16-Apr-2025,SCH0303,goyal mill,Mustard Oil,,,"2,676/-",Pending,SCH0303,,Goyal Mill,Mustard Oil,0.0,2676.0,0.0
MDM010676,30.03.2026,SCH0496,kumar general store,Dal,0.274,Bori,1233,Due,SCH0496,,Kumar General Store,Dal,0.274,1233.0,4500.0
MDM011630,2025-10-04,sch0151,sharma traders pvt ltd,Cooking Oil,36.8,kg,"4,416/-",PENDING,SCH0151,,Sharma Traders,Cooking Oil,36.8,4416.0,120.00000000000001
MDM005338,25-Feb-2026,SCH0547,Singh Agro,Gehun,44.6 kg,,,,SCH0547,,Singh Agro,Wheat,44.6,0.0,0.0
MDM007986,26/08/2025,sch0040,Kumar Supplies,WHEAT,,,1731,,SCH0040,,Kumar Supplies,Wheat,0.0,1731.0,0.0
MDM000294,2026/01/12,SCH0358,Kumar & Co.,Chawal,37.7,KG,1508,Paid,SCH0358,2026-01-12,Kumar & Co,Rice,37.7,1508.0,40.0
MDM011862,2025/04/13,SCH0143,Singh Brothers,Mustard Oil,,,"₹6,828",PENDING,SCH0143,2025-04-13,Singh Brothers,Mustard Oil,0.0,6828.0,0.0
MDM004314,2025-06-01,S0552,Sharma Traders,Pulses,,,"4,941/-",Paid,SCH0552,,Sharma Traders,Dal,0.0,4941.0,0.0
MDM010212,29.11.2025,SCH-0356,S. Agro Works,Cooking Oil,0.226,Bags,1356,PENDING,SCH0356,,S Agro Works,Cooking Oil,0.226,1356.0,6000.0
MDM004868,2026/01/13,SCH0146,Goyal Rice Mill,Gehun,17400,g,₹522,paid,SCH0146,2026-01-13,Goyal Rice Mill,Wheat,17400.0,522.0,0.03
MDM000312,18/02/2026,SCH0186,S. Agro Works,Pulses,55.6 kg,,"5,004/-",paid,SCH0186,,S Agro Works,Dal,55.6,5004.0,90.0
MDM003317,2026-01-05,0264,kumar general store,Wheat,53.2,KG,"1,596/-",paid,SCH0264,,Kumar General Store,Wheat,53.2,1596.0,30.0
MDM003586,21/04/2025,SCH-0592,Kumar Supplies,Sarson Tel,31.8,KG,"3,816/-",paid,SCH0592,,Kumar Supplies,Sarson Tel,31.8,3816.0,120.0
MDM009379,2025-07-29,SCH0474,Singh Agro,Oil,39.5,Kgs,4740,Paid,SCH0474,,Singh Agro,Oil,39.5,4740.0,120.0
MDM000773,2026-02-10,SCH0418,Singh Agro,Oil,29.3,KGS,"3,516/-",Cleared,SCH0418,,Singh Agro,Oil,29.3,3516.0,120.0
MDM000928,2026/03/18,S0265,Goyal Rice Mill,Chawal,24,Kgs,960,Paid,SCH0265,2026-03-18,Goyal Rice Mill,Rice,24.0,960.0,40.0
MDM006158,05.04.2025,SCH0306,Sharma Traders,Gehun,55900,grams,"₹1,677",Pending,SCH0306,,Sharma Traders,Wheat,55900.0,1677.0,0.03
MDM004954,2025/07/24,sch_0454,Goyal Rice Mill,Atta,1.044,50kg Bags,"Rs. 1,566",,SCH0454,2025-07-24,Goyal Rice Mill,Atta,1.044,1566.0,1500.0
MDM005023,2025/11/29,SCH0445,Kumar & Co.,Sarson Tel,1.134,Bags,"Rs. 6,804",PENDING,SCH0445,2025-11-29,Kumar & Co,Sarson Tel,1.134,6804.0,6000.000000000001
MDM003892,19.07.2025,SCH0076,sharma traders pvt ltd,Sarson Tel,53.4,kg,,PENDING,SCH0076,,Sharma Traders,Sarson Tel,53.4,0.0,0.0
MDM011857,16-Oct-2025,SCH0485,Kumar & Co.,Pulses,15000,g,1350,,SCH0485,,Kumar & Co,Dal,15000.0,1350.0,0.09
MDM011989,2025/11/24,sch0544,Kumar Supplies,Mustard Oil,36500,grams,"₹4,380",PENDING,SCH0544,2025-11-24,Kumar Supplies,Mustard Oil,36500.0,4380.0,0.12
MDM000305,2025-05-01,SCH-0405,Singh Brothers,chawal,,,712,paid,SCH0405,,Singh Brothers,Rice,0.0,712.0,0.0
MDM005759,23.06.2025,SCH0397,Goyal Enterprises,gehun,37.2 kg,,"₹1,116",Cleared,SCH0397,,Goyal Enterprises,Wheat,37.2,1116.0,29.999999999999996
MDM006129,24/11/2025,SCH0561,kumar general store,Sarson Tel,59.7 kg,,"₹7,164",Cleared,SCH0561,,Kumar General Store,Sarson Tel,59.7,7164.0,120.0
MDM000812,06/05/2025,sch_0589,Singh Brothers,dal,0.772,50kg Bags,"Rs. 3,474",Paid,SCH0589,,Singh Brothers,Dal,0.772,3474.0,4500.0
MDM004094,03-Oct-2025,S0195,goyal mill,Cooking Oil,58.4 kg,,"7,008/-",paid,SCH0195,,Goyal Mill,Cooking Oil,58.4,7008.0,120.0
MDM010724,07-24-2025,sch0047,S. Agro Works,dal,0.5,50kg Bags,2250,Pending,SCH0047,,S Agro Works,Dal,0.5,2250.0,4500.0
MDM003998,2025/07/25,sch_0210,Singh Agro,Rice,0.318,Sacks,636,Cleared,SCH0210,2025-07-25,Singh Agro,Rice,0.318,636.0,2000.0
MDM000248,2025-05-03,sch_0032,Kumar & Co.,Pulses,32.6,kg,2934,Pending,SCH0032,,Kumar & Co,Dal,32.6,2934.0,90.0
MDM001618,09-Jan-2026,SCH0481,Goyal Rice Mill,Atta,0.63,Sacks,Rs. 945,,SCH0481,,Goyal Rice Mill,Atta,0.63,945.0,1500.0
MDM000201,09-14-2025,sch0322,Singh Brothers,Wheat,39.3 kg,,1179,Cleared,SCH0322,,Singh Brothers,Wheat,39.3,1179.0,30.000000000000004
MDM004908,26/05/2025,sch0058,Goyal Enterprises,Chawal,23.1,Kgs,₹924,paid,SCH0058,,Goyal Enterprises,Rice,23.1,924.0,40.0
MDM010408,20.02.2026,SCH0167,Goyal Rice Mill,Dal,56500,Grams,"₹5,085",Pending,SCH0167,,Goyal Rice Mill,Dal,56500.0,5085.0,0.09
MDM010543,2026-01-24,0383,Kumar Supplies,Atta,39.3 kg,,1179,,SCH0383,,Kumar Supplies,Atta,39.3,1179.0,30.000000000000004
MDM004672,15/05/2025,SCH0376,Kumar Supplies,chawal,24,Kgs,₹960,PENDING,SCH0376,,Kumar Supplies,Rice,24.0,960.0,40.0
MDM003488,23/02/2026,SCH0125,Singh Brothers,Mustard Oil,52.6 kg,,"6,312/-",Due,SCH0125,,Singh Brothers,Mustard Oil,52.6,6312.0,120.0
MDM011677,04-13-2025,S0387,Singh Brothers,Dal,,,4779,paid,SCH0387,,Singh Brothers,Dal,0.0,4779.0,0.0
MDM009892,2026/03/22,sch0074,Singh Agro,Cooking Oil,,,"6,732/-",,SCH0074,2026-03-22,Singh Agro,Cooking Oil,0.0,6732.0,0.0
MDM009298,16-May-2025,sch0220,Sharma Traders,Sarson Tel,51.1,KGS,"6,132/-",Due,SCH0220,,Sharma Traders,Sarson Tel,51.1,6132.0,120.0
MDM005900,31-Jan-2026,sch_0514,kumar general store,Chawal,56.5,kg,,Due,SCH0514,,Kumar General Store,Rice,56.5,0.0,0.0
MDM003618,18-Nov-2025,SCH0304,goyal mill,dal,18.4,kg,1656,paid,SCH0304,,Goyal Mill,Dal,18.4,1656.0,90.0
MDM003932,03-12-2026,SCH-0149,Kumar & Co.,Lentils,47700,Grams,"₹4,293",Paid,SCH0149,,Kumar & Co,Dal,47700.0,4293.0,0.09
MDM009319,2025-11-22,SCH0253,kumar general store,Dal,13.7 kg,,1233,paid,SCH0253,,Kumar General Store,Dal,13.7,1233.0,90.0
MDM003026,2026-01-16,SCH0271,Sharma Traders,WHEAT,,,681,paid,SCH0271,,Sharma Traders,Wheat,0.0,681.0,0.0
MDM004411,26/03/2026,SCH0567,Kumar Supplies,dal,0.634,Sacks,"2,853/-",paid,SCH0567,,Kumar Supplies,Dal,0.634,2853.0,4500.0
MDM001189,13.04.2025,S0514,Sharma & Sons,Sarson Tel,18.2,KGS,2184,Pending,SCH0514,,Sharma & Sons,Sarson Tel,18.2,2184.0,120.0
MDM008016,10.10.2025,SCH0419,Kumar & Co.,Dal,45700,grams,4113,,SCH0419,,Kumar & Co,Dal,45700.0,4113.0,0.09
MDM004442,04-Nov-2025,SCH0554,Goyal Rice Mill,Mustard Oil,30000,g,"₹3,600",Due,SCH0554,,Goyal Rice Mill,Mustard Oil,30000.0,3600.0,0.12
MDM010944,15.10.2025,SCH0446,Kumar Supplies,Oil,12,Kgs,1440,paid,SCH0446,,Kumar Supplies,Oil,12.0,1440.0,120.0
MDM002755,05-20-2025,SCH0455,sharma traders pvt ltd,chawal,48.2,Kgs,1928,,SCH0455,,Sharma Traders,Rice,48.2,1928.0,40.0
MDM002953,2026-01-22,SCH0467,goyal mill,RICE,0.546,Sacks,1092,Due,SCH0467,,Goyal Mill,Rice,0.546,1092.0,1999.9999999999998
MDM007147,06/03/2026,SCH0001,kumar general store,Cooking Oil,,,"2,352/-",,SCH0001,,Kumar General Store,Cooking Oil,0.0,2352.0,0.0
MDM009076,08-21-2025,SCH0535,goyal mill,WHEAT,14.1 kg,,423,Due,SCH0535,,Goyal Mill,Wheat,14.1,423.0,30.0
MDM008395,2025/05/08,S0549,Kumar & Co.,chawal,42800,grams,1712,PENDING,SCH0549,2025-05-08,Kumar & Co,Rice,42800.0,1712.0,0.04
MDM006537,28.08.2025,SCH0348,Singh Brothers,Dal,22500,grams,"Rs. 2,025",Paid,SCH0348,,Singh Brothers,Dal,22500.0,2025.0,0.09
MDM010629,2025-06-14,sch0167,Sharma & Sons,Atta,29.6 kg,,888,paid,SCH0167,,Sharma & Sons,Atta,29.6,888.0,30.0
MDM003873,2025-11-07,SCH0344,Sharma & Sons,Cooking Oil,37300,grams,,PENDING,SCH0344,,Sharma & Sons,Cooking Oil,37300.0,0.0,0.0
MDM000519,2025-07-07,SCH0406,Kumar Supplies,gehun,,,597/-,Pending,SCH0406,,Kumar Supplies,Wheat,0.0,597.0,0.0
MDM002022,21/05/2025,S0454,Singh Brothers,Sarson Tel,23.5,Kgs,,Due,SCH0454,,Singh Brothers,Sarson Tel,23.5,0.0,0.0
MDM005166,06/12/2025,SCH0560,sharma traders pvt ltd,Dal,,,"Rs. 3,096",Due,SCH0560,,Sharma Traders,Dal,0.0,3096.0,0.0
MDM005701,10-Jun-2025,S0591,kumar general store,Rice,42.3 kg,,1692,Due,SCH0591,,Kumar General Store,Rice,42.3,1692.0,40.0
MDM001384,04-11-2025,sch_0282,Singh Brothers,Wheat,37.7,KGS,"Rs. 1,131",,SCH0282,,Singh Brothers,Wheat,37.7,1131.0,29.999999999999996
MDM008377,2026-02-16,SCH0401,Goyal Rice Mill,Chawal,29.2,KGS,1168,Paid,SCH0401,,Goyal Rice Mill,Rice,29.2,1168.0,40.0
MDM002302,12.10.2025,SCH0439,Singh Brothers,RICE,52.6 kg,,"Rs. 2,104",Cleared,SCH0439,,Singh Brothers,Rice,52.6,2104.0,40.0
MDM005009,21-Jun-2025,sch_0522,sharma traders pvt ltd,Chawal,14,KG,560,Pending,SCH0522,,Sharma Traders,Rice,14.0,560.0,40.0
MDM007771,26/09/2025,sch_0451,Goyal Enterprises,Chawal,16.4,KG,Rs. 656,Paid,SCH0451,,Goyal Enterprises,Rice,16.4,656.0,40.0
MDM001218,05.05.2025,S0524,Sharma & Sons,gehun,32600,g,Rs. 978,paid,SCH0524,,Sharma & Sons,Wheat,32600.0,978.0,0.03
MDM008084,2026-01-10,SCH0551,goyal mill,dal,17.7,KG,1593,paid,SCH0551,,Goyal Mill,Dal,17.7,1593.0,90.0
MDM001276,28-Oct-2025,sch0068,Goyal Enterprises,Mustard Oil,26.7,KGS,"₹3,204",,SCH0068,,Goyal Enterprises,Mustard Oil,26.7,3204.0,120.0
MDM007448,15/07/2025,sch0497,Singh Agro,Lentils,36.3,KGS,3267,paid,SCH0497,,Singh Agro,Dal,36.3,3267.0,90.0
MDM004280,09/10/2025,sch0253,S. Agro Works,gehun,32.2,kg,966,PENDING,SCH0253,,S Agro Works,Wheat,32.2,966.0,29.999999999999996
MDM000971,20-Mar-2026,SCH0266,goyal mill,Cooking Oil,0.73,bags,"Rs. 4,380",PENDING,SCH0266,,Goyal Mill,Cooking Oil,0.73,4380.0,6000.0
MDM008150,2025/12/16,SCH-0511,goyal mill,Pulses,56200,Grams,5058,Paid,SCH0511,2025-12-16,Goyal Mill,Dal,56200.0,5058.0,0.09
MDM003838,2026/01/20,SCH-0594,Kumar & Co.,Chawal,13.7,KG,548,PENDING,SCH0594,2026-01-20,Kumar & Co,Rice,13.7,548.0,40.0
MDM008405,08-Feb-2026,SCH0347,Kumar Supplies,Wheat,27.1 kg,,₹813,,SCH0347,,Kumar Supplies,Wheat,27.1,813.0,30.0
MDM003446,2025-09-26,S0090,kumar general store,gehun,41800,Grams,"Rs. 1,254",Pending,SCH0090,,Kumar General Store,Wheat,41800.0,1254.0,0.03
MDM004771,09/07/2025,SCH0585,goyal mill,WHEAT,54300,Grams,1629,Cleared,SCH0585,,Goyal Mill,Wheat,54300.0,1629.0,0.03
MDM002629,2025/08/24,SCH-0300,Sharma Traders,gehun,0.276,50kg Bags,414,PENDING,SCH0300,2025-08-24,Sharma Traders,Wheat,0.276,414.0,1499.9999999999998
MDM005768,19/11/2025,sch_0395,Singh Brothers,Pulses,1.084,bags,4878,Pending,SCH0395,,Singh Brothers,Dal,1.084,4878.0,4500.0
MDM007446,2025/09/10,SCH-0198,goyal mill,Lentils,34500,g,"₹3,105",Pending,SCH0198,2025-09-10,Goyal Mill,Dal,34500.0,3105.0,0.09
MDM010963,16/01/2026,SCH-0294,Goyal Enterprises,Chawal,0.33,bags,660,PENDING,SCH0294,,Goyal Enterprises,Rice,0.33,660.0,2000.0
MDM007782,08.07.2025,SCH0170,kumar general store,Wheat,31.9 kg,,957,PENDING,SCH0170,,Kumar General Store,Wheat,31.9,957.0,30.0
MDM000614,01-22-2026,S0291,kumar general store,Wheat,24.5 kg,,735/-,Due,SCH0291,,Kumar General Store,Wheat,24.5,735.0,30.0
MDM003814,2026/03/19,SCH0337,Kumar & Co.,Chawal,,,1272,paid,SCH0337,2026-03-19,Kumar & Co,Rice,0.0,1272.0,0.0
MDM005863,2025/08/01,SCH0021,Sharma Traders,Cooking Oil,,,"1,524/-",,SCH0021,2025-08-01,Sharma Traders,Cooking Oil,0.0,1524.0,0.0
MDM010837,2026-03-04,SCH0550,Goyal Rice Mill,dal,1.136,Bags,"5,112/-",paid,SCH0550,,Goyal Rice Mill,Dal,1.136,5112.0,4500.0
MDM010150,2026-02-22,SCH0184,Singh Agro,Chawal,14.1,KG,Rs. 564,,SCH0184,,Singh Agro,Rice,14.1,564.0,40.0
MDM000430,19-Dec-2025,sch0106,Kumar & Co.,Gehun,23.8,KGS,714,paid,SCH0106,,Kumar & Co,Wheat,23.8,714.0,30.0
MDM009129,19/02/2026,SCH-0452,Goyal Rice Mill,Daal,34.2 kg,,"3,078/-",paid,SCH0452,,Goyal Rice Mill,Daal,34.2,3078.0,89.99999999999999
MDM003080,20.12.2025,SCH0381,Singh Agro,Dal,38.5 kg,,"3,465/-",PENDING,SCH0381,,Singh Agro,Dal,38.5,3465.0,90.0
MDM001966,16/04/2025,S0588,goyal mill,Rice,,,"₹1,208",,SCH0588,,Goyal Mill,Rice,0.0,1208.0,0.0
MDM008138,2025-07-25,S0228,Singh Agro,Rice,,,1856,Pending,SCH0228,,Singh Agro,Rice,0.0,1856.0,0.0
MDM006110,21/05/2025,SCH0065,Goyal Enterprises,dal,0.62,Bags,2790,Pending,SCH0065,,Goyal Enterprises,Dal,0.62,2790.0,4500.0
MDM001787,2025-08-26,sch0527,Kumar Supplies,RICE,21.5,KG,Rs. 860,Paid,SCH0527,,Kumar Supplies,Rice,21.5,860.0,40.0
MDM000397,2025-10-13,SCH0200,goyal mill,Oil,0.5720000000000001,50kg Bags,"₹3,432",Pending,SCH0200,,Goyal Mill,Oil,0.5720000000000001,3432.0,5999.999999999999
MDM006921,26/04/2025,sch0083,Goyal Enterprises,Sarson Tel,49700,grams,"Rs. 5,964",,SCH0083,,Goyal Enterprises,Sarson Tel,49700.0,5964.0,0.12
MDM007202,10/10/2025,SCH0348,Singh Agro,chawal,19.7,KGS,Rs. 788,,SCH0348,,Singh Agro,Rice,19.7,788.0,40.0
MDM006241,07.10.2025,0550,goyal mill,Lentils,0.9940000000000001,50kg Bags,4473,Due,SCH0550,,Goyal Mill,Dal,0.9940000000000001,4473.0,4499.999999999999
MDM007898,19/09/2025,SCH0040,sharma traders pvt ltd,Gehun,11.5 kg,,Rs. 345,paid,SCH0040,,Sharma Traders,Wheat,11.5,345.0,30.0
MDM008742,10-Aug-2025,sch0178,Goyal Rice Mill,Mustard Oil,25.9,KGS,3108,PENDING,SCH0178,,Goyal Rice Mill,Mustard Oil,25.9,3108.0,120.0
MDM011027,08-15-2025,SCH0298,Kumar Supplies,Dal,46.9,KG,"₹4,221",Due,SCH0298,,Kumar Supplies,Dal,46.9,4221.0,90.0
MDM000748,2026-03-07,SCH0193,Sharma & Sons,Lentils,20.2 kg,,1818,Cleared,SCH0193,,Sharma & Sons,Dal,20.2,1818.0,90.0
MDM004032,2025-05-10,SCH0015,goyal mill,dal,,,3753,Pending,SCH0015,,Goyal Mill,Dal,0.0,3753.0,0.0
MDM001840,2025-06-20,S0253,Kumar Supplies,Mustard Oil,45.9,KGS,5508,Due,SCH0253,,Kumar Supplies,Mustard Oil,45.9,5508.0,120.0
MDM009241,2025/12/07,S0224,Singh Agro,chawal,25.1 kg,,1004,Pending,SCH0224,2025-12-07,Singh Agro,Rice,25.1,1004.0,40.0
MDM009254,24.09.2025,0232,S. Agro Works,Lentils,,,"Rs. 2,772",paid,SCH0232,,S Agro Works,Dal,0.0,2772.0,0.0
MDM009913,08/08/2025,sch_0311,Goyal Enterprises,Cooking Oil,,,6456,Pending,SCH0311,,Goyal Enterprises,Cooking Oil,0.0,6456.0,0.0
MDM003843,11-02-2025,SCH0233,kumar general store,Mustard Oil,22.5,Kgs,"₹2,700",paid,SCH0233,,Kumar General Store,Mustard Oil,22.5,2700.0,120.0
MDM009141,20/02/2026,sch0379,Goyal Rice Mill,Chawal,19300,g,772,paid,SCH0379,,Goyal Rice Mill,Rice,19300.0,772.0,0.04
MDM005653,12.02.2026,SCH-0255,sharma traders pvt ltd,Dal,,,"Rs. 2,439",PENDING,SCH0255,,Sharma Traders,Dal,0.0,2439.0,0.0
