school_id,school_name,district,block,total_enrolled_students,school_type,medium,school_id_clean
SCH0025,Govt. Elementary School Tella,Ludhiana,Ludhiana-I,425,Upper Primary,punjabi,SCH0025
SCH0479,Govt. Primary School Tank,Moga,Moga-I,257,Higher Secondary,hindi,SCH0479
SCH0369,Govt. Senior Secondary School Naik,patiala,Rajpura,193,Primary,punjabi,SCH0369
SCH0362,Govt. Elementary School Sinha,Ferozepur,Zira,67,Upper Primary,hindi,SCH0362
SCH0364,Govt. Primary School Chowdhury,Ludhiana,Machhiwara,84,Higher Secondary,English,SCH0364
SCH0469,Govt. Middle School Gera,Ludhiana,Ludhiana-II,265,Primary,Hindi,SCH0469
SCH0071,Govt. Elementary School Comar,Bathinda,Rampura Phul,165,Primary,punjabi,SCH0071
SCH0353,Govt. Elementary School Parikh,Ferozepur,Ferozepur,212,Upper Primary,punjabi,SCH0353
SCH0177,Govt. Middle School Manne,Moga,Moga-II,294,Secondary,punjabi,SCH0177
SCH0370,Govt. Primary School Pant,Jalandhar,Jalandhar-II,148,upper primary,punjabi,SCH0370
SCH0061,Govt. Elementary School Dhawan,Ludhiana,Machhiwara,343,primary,punjabi,SCH0061
SCH0600,Govt. Primary School Sandhu,Amritsar,Ajnala,193,Secondary,English,SCH0600
SCH0102,Govt. Middle School Kakar,Ludhiana,Ludhiana-II,249,upper primary,punjabi,SCH0102
SCH0204,Govt. Middle School Singhal,Amritsar,Amritsar-II,89,Secondary,Hindi,SCH0204
SCH0589,Govt. Elementary School Sarraf,Patiala,Patiala,358,Primary,Punjabi,SCH0589
SCH0091,Govt. Middle School Soman,Moga,Nihal Singh Wala,210,Primary,punjabi,SCH0091
SCH0540,Govt. Elementary School Dugal,Patiala,Patiala,288,Primary,hindi,SCH0540
SCH0471,Govt. Elementary School Chad,Sangrur,,285,Upper Primary,Punjabi,SCH0471
SCH0568,Govt. Primary School Zachariah,Amritsar,,141,Higher Secondary,hindi,SCH0568
SCH0030,Govt. Elementary School Kar,Moga,Bagha Purana,144,Secondary,English,SCH0030
SCH0111,Govt. Middle School Butala,Bathinda,Maur,350,Upper Primary,Hindi,SCH0111
SCH0510,Govt. Middle School Kant,Bathinda,Talwandi Sabo,363,Upper Primary,hindi,SCH0510
SCH0213,Govt. Elementary School Bhatt,Bathinda,Maur,192,Upper Primary,English,SCH0213
SCH0545,Govt. Elementary School Prabhakar,Ferozepur,Ferozepur,432,Secondary,Hindi,SCH0545
SCH0323,Govt. Middle School Kapoor,Moga,Moga-I,295,Upper Primary,hindi,SCH0323
SCH0290,Govt. Primary School Mander,Jalandhar,Phillaur,187,Secondary,Punjabi,SCH0290
SCH0530,Govt. Middle School Kata,Patiala,Patiala,160,secondary,punjabi,SCH0530
SCH0463,Govt. Primary School Rajagopalan,Bathinda,Maur,277,Primary,hindi,SCH0463
SCH0453,Govt. Primary School Mahal,,Ludhiana-II,103,Higher Secondary,English,SCH0453
SCH0156,Govt. Elementary School Barad,Ferozepur,Zira,344,Primary,English,SCH0156
SCH0082,Govt. Elementary School Mistry,Amritsar,Tarn Taran,350,Upper Primary,punjabi,SCH0082
SCH0251,Govt. Middle School Choudhry,Bathinda,Talwandi Sabo,410,Higher Secondary,hindi,SCH0251
SCH0595,Govt. Primary School Char,Amritsar,Ajnala,208,Upper Primary,hindi,SCH0595
SCH0239,Govt. Middle School Butala,Ferozepur,Mamdot,159,primary,hindi,SCH0239
SCH0406,Govt. Senior Secondary School Bhattacharyya,Sangrur,Sunam,351,Secondary,punjabi,SCH0406
SCH0064,Govt. Senior Secondary School Nayar,Patiala,Patiala,439,Primary,Punjabi,SCH0064
SCH0272,Govt. Senior Secondary School Sarin,Ferozepur,Makhu,265,Upper Primary,Hindi,SCH0272
SCH0073,Govt. Senior Secondary School Shah,Moga,,345,Secondary,punjabi,SCH0073
SCH0257,Govt. Senior Secondary School Rai,Ferozepur,Ferozepur,231,Higher Secondary,Punjabi,SCH0257
SCH0555,Govt. Elementary School Mukhopadhyay,Jalandhar,Nakodar,297,upper primary,hindi,SCH0555
SCH0336,Govt. Middle School Sridhar,Sangrur,Malerkotla,277,primary,hindi,SCH0336
SCH0579,Govt. Primary School Puri,Bathinda,Talwandi Sabo,153,Upper Primary,punjabi,SCH0579
SCH0400,Govt. Senior Secondary School Sastry,Bathinda,Rampura Phul,273,Secondary,punjabi,SCH0400
SCH0261,Govt. Middle School Sen,Ludhiana,Ludhiana-II,340,Higher Secondary,Hindi,SCH0261
SCH0136,Govt. Middle School Banerjee,Ludhiana,,179,Secondary,Hindi,SCH0136
SCH0341,Govt. Elementary School Virk,Moga,Moga-I,61,Primary,punjabi,SCH0341
SCH0111,Govt. Middle School Butala,Bathinda,Maur,350,Upper Primary,Hindi,SCH0111
SCH0212,Govt. Senior Secondary School Sachar,Moga,Bagha Purana,386,Secondary,English,SCH0212
SCH0542,Govt. Primary School Balasubramanian,Sangrur,Sangrur,224,Higher Secondary,English,SCH0542
SCH0300,Govt. Middle School Chaudhary,Bathinda,Talwandi Sabo,232,Primary,English,SCH0300
SCH0481,Govt. Middle School Bhatti,Patiala,Samana,249,Upper Primary,hindi,SCH0481
SCH0007,Govt. Middle School Kale,Ferozepur,Makhu,272,Secondary,English,SCH0007
SCH0105,Govt. Primary School Desai,Amritsar,Tarn Taran,125,primary,English,SCH0105
SCH0115,Govt. Primary School Sachdev,Ferozepur,Makhu,86,Primary,English,SCH0115
SCH0159,Govt. Senior Secondary School Gade,Ludhiana,Doraha,432,Higher Secondary,hindi,SCH0159
SCH0182,Govt. Middle School Hari,,Nihal Singh Wala,330,Upper Primary,Punjabi,SCH0182
SCH0532,Govt. Primary School Sahni,patiala,,295,Secondary,Hindi,SCH0532
SCH0365,Govt. Middle School Bhavsar,Amritsar,,99,Higher Secondary,hindi,SCH0365
SCH0178,Govt. Middle School Dyal,Amritsar,Tarn Taran,348,Upper Primary,English,SCH0178
SCH0594,Govt. Primary School Murthy,Bathinda,Rampura Phul,228,Primary,Hindi,SCH0594
SCH0200,Govt. Senior Secondary School Anne,Sangrur,Sangrur,86,Higher Secondary,Punjabi,SCH0200
SCH0422,Govt. Primary School Rajan,Bathinda,Maur,375,Secondary,punjabi,SCH0422
SCH0301,Govt. Elementary School Loke,Sangrur,Dhuri,207,Primary,English,SCH0301
SCH0409,Govt. Primary School Puri,Amritsar,,369,Secondary,Hindi,SCH0409
SCH0397,Govt. Elementary School Raghavan,Sangrur,Sangrur,106,Higher Secondary,Punjabi,SCH0397
SCH0287,Govt. Senior Secondary School Bhavsar,Ferozepur,Mamdot,340,Secondary,English,SCH0287
SCH0258,Govt. Primary School Kalita,Ludhiana,Ludhiana-I,247,higher secondary,Punjabi,SCH0258
SCH0260,Govt. Primary School Deol,Sangrur,Malerkotla,63,Secondary,English,SCH0260
SCH0056,Govt. Primary School Nagar,Sangrur,Sangrur,405,Secondary,Hindi,SCH0056
SCH0043,Govt. Middle School Sachar,Moga,,99,Secondary,hindi,SCH0043
SCH0074,Govt. Primary School Parmer,Sangrur,,393,Higher Secondary,Hindi,SCH0074
SCH0538,Govt. Middle School Wali,Ferozepur,Zira,308,Upper Primary,English,SCH0538
SCH0067,Govt. Senior Secondary School Dewan,Ludhiana,,334,Higher Secondary,Hindi,SCH0067
SCH0012,Govt. Elementary School Mand,Ludhiana,Ludhiana-I,118,Higher Secondary,punjabi,SCH0012
SCH0164,Govt. Senior Secondary School Barad,Amritsar,Ajnala,82,Secondary,Punjabi,SCH0164
SCH0444,Govt. Middle School Setty,Ferozepur,Ferozepur,237,secondary,hindi,SCH0444
SCH0211,Govt. Senior Secondary School Edwin,Patiala,Samana,379,Higher Secondary,hindi,SCH0211
SCH0333,Govt. Middle School Warrior,Amritsar,Amritsar-I,262,Upper Primary,punjabi,SCH0333
SCH0084,Govt. Primary School Wali,patiala,Samana,378,Upper Primary,punjabi,SCH0084
SCH0279,Govt. Senior Secondary School Narayan,,Nihal Singh Wala,94,Secondary,punjabi,SCH0279
SCH0449,Govt. Primary School Keer,Ferozepur,Mamdot,362,secondary,hindi,SCH0449
SCH0080,Govt. Elementary School Roy,Sangrur,Dhuri,214,Primary,Punjabi,SCH0080
SCH0024,Govt. Primary School Bhandari,Ferozepur,,182,Primary,hindi,SCH0024
SCH0288,Govt. Middle School Goyal,Amritsar,Amritsar-II,200,secondary,hindi,SCH0288
SCH0302,Govt. Middle School Sama,Amritsar,Tarn Taran,151,Upper Primary,English,SCH0302
SCH0281,Govt. Elementary School Agarwal,Amritsar,Amritsar-II,218,Higher Secondary,Punjabi,SCH0281
SCH0245,Govt. Senior Secondary School Sarkar,Ludhiana,Doraha,233,Primary,hindi,SCH0245
SCH0291,Govt. Elementary School Seth,Sangrur,Sunam,139,Higher Secondary,punjabi,SCH0291
SCH0330,Govt. Middle School Badami,,Moga-I,211,Higher Secondary,hindi,SCH0330
SCH0138,Govt. Primary School Gandhi,Moga,Moga-II,229,Secondary,Hindi,SCH0138
SCH0189,Govt. Elementary School Mitter,ferozepur,Mamdot,334,Secondary,hindi,SCH0189
SCH0166,Govt. Middle School Devi,Moga,Moga-II,54,Primary,Hindi,SCH0166
SCH0297,Govt. Middle School Narayanan,Ludhiana,Doraha,312,Upper Primary,English,SCH0297
SCH0010,Govt. Elementary School Mani,Patiala,Samana,148,Higher Secondary,Hindi,SCH0010
SCH0197,Govt. Elementary School Dada,Moga,Nihal Singh Wala,106,Primary,punjabi,SCH0197
SCH0232,Govt. Primary School Choudhary,Ludhiana,Machhiwara,170,Upper Primary,Punjabi,SCH0232
SCH0320,Govt. Middle School Dave,Amritsar,Amritsar-I,402,Primary,English,SCH0320
SCH0182,Govt. Middle School Hari,,Nihal Singh Wala,330,Upper Primary,Punjabi,SCH0182
SCH0266,Govt. Middle School Hora,Jalandhar,Phillaur,202,primary,English,SCH0266
SCH0085,Govt. Elementary School Bandi,,,189,Secondary,Hindi,SCH0085
SCH0175,Govt. Senior Secondary School Naik,Ludhiana,Doraha,198,Higher Secondary,Punjabi,SCH0175
SCH0548,Govt. Elementary School Yohannan,Patiala,Rajpura,432,Secondary,punjabi,SCH0548
SCH0219,Govt. Senior Secondary School Oommen,moga,Bagha Purana,370,Primary,Punjabi,SCH0219
SCH0317,Govt. Middle School Purohit,Ferozepur,,399,Upper Primary,Hindi,SCH0317
SCH0491,Govt. Primary School Raman,,Dhuri,334,Upper Primary,hindi,SCH0491
SCH0391,Govt. Senior Secondary School Lad,Jalandhar,Nakodar,89,Secondary,English,SCH0391
SCH0214,Govt. Elementary School Chahal,Bathinda,Rampura Phul,102,Higher Secondary,Hindi,SCH0214
SCH0154,Govt. Middle School Chakraborty,Ferozepur,,436,Primary,Punjabi,SCH0154
SCH0076,Govt. Primary School Oommen,Moga,Bagha Purana,399,Secondary,English,SCH0076
SCH0093,Govt. Elementary School Bora,ludhiana,Machhiwara,251,Secondary,Punjabi,SCH0093
SCH0431,Govt. Middle School Sarin,Bathinda,Rampura Phul,384,Upper Primary,English,SCH0431
SCH0069,Govt. Elementary School Mital,Moga,Moga-I,299,Primary,English,SCH0069
SCH0016,Govt. Senior Secondary School Varughese,Ludhiana,Ludhiana-I,225,Secondary,Punjabi,SCH0016
SCH0193,Govt. Primary School Parmer,Jalandhar,Jalandhar-II,127,Secondary,Punjabi,SCH0193
SCH0376,Govt. Elementary School Talwar,Moga,Moga-I,212,Secondary,Punjabi,SCH0376
SCH0089,Govt. Middle School Krishnamurthy,Amritsar,Amritsar-II,385,Primary,Hindi,SCH0089
SCH0519,Govt. Elementary School Palan,,Maur,195,Upper Primary,punjabi,SCH0519
SCH0118,Govt. Middle School Hari,Sangrur,Sangrur,89,Upper Primary,hindi,SCH0118
SCH0410,Govt. Primary School Bath,Ludhiana,,224,Secondary,Punjabi,SCH0410
SCH0435,Govt. Middle School Rama,Amritsar,Amritsar-II,420,Higher Secondary,Punjabi,SCH0435
SCH0034,Govt. Senior Secondary School Kumar,Bathinda,Bathinda,94,Upper Primary,Hindi,SCH0034
SCH0001,Govt. Primary School Nadkarni,Amritsar,Amritsar-I,419,upper primary,hindi,SCH0001
SCH0119,Govt. Middle School Sur,Ferozepur,,252,Higher Secondary,English,SCH0119
SCH0554,Govt. Primary School Din,Patiala,Patiala,364,higher secondary,hindi,SCH0554
SCH0370,Govt. Primary School Pant,Jalandhar,Jalandhar-II,148,upper primary,punjabi,SCH0370
SCH0356,Govt. Middle School Brahmbhatt,Patiala,Patiala,294,Primary,Punjabi,SCH0356
SCH0454,Govt. Senior Secondary School Bala,Patiala,Rajpura,370,Upper Primary,English,SCH0454
SCH0552,Govt. Primary School Bhavsar,Patiala,Patiala,410,Higher Secondary,English,SCH0552
SCH0023,Govt. Senior Secondary School Bumb,Ludhiana,Machhiwara,412,Primary,Hindi,SCH0023
SCH0473,Govt. Middle School Nori,Jalandhar,Phillaur,346,Primary,Hindi,SCH0473
SCH0117,Govt. Primary School Reddy,Amritsar,Tarn Taran,398,higher secondary,English,SCH0117
SCH0090,Govt. Elementary School Pingle,Sangrur,Dhuri,182,Higher Secondary,punjabi,SCH0090
SCH0183,Govt. Primary School Narain,Jalandhar,,243,Secondary,Hindi,SCH0183
SCH0496,Govt. Middle School Hayre,Amritsar,Amritsar-II,283,Upper Primary,Hindi,SCH0496
SCH0412,Govt. Elementary School Anand,Amritsar,Ajnala,215,Higher Secondary,punjabi,SCH0412
SCH0019,Govt. Senior Secondary School Venkatesh,Sangrur,Dhuri,101,Primary,Punjabi,SCH0019
SCH0429,Govt. Elementary School Narain,Ferozepur,Zira,180,Secondary,Hindi,SCH0429
SCH0536,Govt. Middle School Chandran,Jalandhar,Jalandhar-I,311,Secondary,hindi,SCH0536
SCH0145,Govt. Elementary School Kashyap,Sangrur,Malerkotla,85,Primary,punjabi,SCH0145
SCH0303,Govt. Elementary School Bava,Jalandhar,,443,primary,Hindi,SCH0303
SCH0566,Govt. Primary School Ramachandran,Amritsar,Tarn Taran,378,Secondary,punjabi,SCH0566
SCH0558,Govt. Senior Secondary School Morar,Patiala,Rajpura,242,Upper Primary,English,SCH0558
SCH0426,Govt. Elementary School Andra,Ferozepur,Ferozepur,364,Primary,hindi,SCH0426
SCH0273,Govt. Senior Secondary School Parikh,Ferozepur,Makhu,189,Higher Secondary,English,SCH0273
SCH0262,Govt. Primary School Mital,Ferozepur,Makhu,236,Upper Primary,English,SCH0262
SCH0363,Govt. Elementary School Sankar,Bathinda,Rampura Phul,192,Primary,English,SCH0363
SCH0430,Govt. Senior Secondary School Dutt,Ferozepur,Makhu,399,Secondary,hindi,SCH0430
SCH0168,Govt. Elementary School Narayan,Amritsar,Amritsar-I,171,Upper Primary,English,SCH0168
SCH0055,Govt. Elementary School Sem,Sangrur,Malerkotla,424,Secondary,English,SCH0055
SCH0442,Govt. Middle School Karpe,Ferozepur,Mamdot,87,Upper Primary,Hindi,SCH0442
SCH0047,Govt. Senior Secondary School Karpe,Jalandhar,Jalandhar-II,255,Higher Secondary,English,SCH0047
SCH0094,Govt. Elementary School Pingle,Patiala,Samana,321,Secondary,hindi,SCH0094
SCH0305,Govt. Senior Secondary School Mane,Jalandhar,,87,secondary,English,SCH0305
SCH0109,Govt. Elementary School Pradhan,Ferozepur,Makhu,273,Upper Primary,punjabi,SCH0109
SCH0293,Govt. Primary School Wadhwa,Jalandhar,Phillaur,329,Higher Secondary,English,SCH0293
SCH0196,Govt. Senior Secondary School Kara,Ludhiana,Ludhiana-II,265,Higher Secondary,English,SCH0196
SCH0213,Govt. Elementary School Bhatt,Bathinda,Maur,192,Upper Primary,English,SCH0213
SCH0514,Govt. Primary School Mahal,Amritsar,Amritsar-I,72,Higher Secondary,hindi,SCH0514
SCH0468,Govt. Middle School Mishra,Bathinda,Talwandi Sabo,154,Secondary,punjabi,SCH0468
SCH0371,Govt. Elementary School Baral,Patiala,Nabha,344,primary,English,SCH0371
SCH0408,Govt. Primary School Salvi,Ludhiana,Ludhiana-I,96,higher secondary,Punjabi,SCH0408
SCH0008,Govt. Middle School Sibal,Amritsar,Amritsar-II,313,Upper Primary,hindi,SCH0008
SCH0413,Govt. Primary School Bhatnagar,Sangrur,Dhuri,372,upper primary,Hindi,SCH0413
SCH0424,Govt. Elementary School Baral,Bathinda,Rampura Phul,399,Upper Primary,hindi,SCH0424
SCH0285,Govt. Primary School Chaudhry,Ferozepur,Ferozepur,400,Secondary,hindi,SCH0285
SCH0276,Govt. Elementary School Naik,Sangrur,Sunam,364,Secondary,Punjabi,SCH0276
SCH0582,Govt. Primary School Tiwari,,Rajpura,416,Higher Secondary,punjabi,SCH0582
SCH0070,Govt. Elementary School Nair,Sangrur,Sunam,262,Secondary,hindi,SCH0070
SCH0265,Govt. Primary School Bhat,Ferozepur,Ferozepur,435,Upper Primary,punjabi,SCH0265
SCH0433,Govt. Senior Secondary School Hayre,Amritsar,Amritsar-I,235,Primary,English,SCH0433
SCH0299,Govt. Elementary School Sane,Patiala,Nabha,404,Upper Primary,hindi,SCH0299
SCH0250,Govt. Senior Secondary School Lad,Bathinda,Talwandi Sabo,191,Secondary,English,SCH0250
SCH0573,Govt. Middle School Thakkar,Patiala,Nabha,337,Upper Primary,hindi,SCH0573
SCH0275,Govt. Primary School Chandran,Ludhiana,Machhiwara,402,Secondary,punjabi,SCH0275
SCH0150,Govt. Primary School Parikh,ludhiana,Doraha,299,Higher Secondary,English,SCH0150
SCH0125,Govt. Primary School Srivastava,Moga,Moga-I,129,Upper Primary,punjabi,SCH0125
SCH0470,Govt. Elementary School Handa,Jalandhar,Nakodar,348,Primary,Punjabi,SCH0470
SCH0531,Govt. Senior Secondary School Acharya,Patiala,Patiala,61,Higher Secondary,Punjabi,SCH0531
SCH0186,Govt. Senior Secondary School Pillay,Moga,Moga-I,321,Secondary,hindi,SCH0186
SCH0334,Govt. Senior Secondary School Gole,Moga,Bagha Purana,271,Primary,hindi,SCH0334
SCH0313,Govt. Senior Secondary School Behl,Patiala,Nabha,422,Primary,Punjabi,SCH0313
SCH0478,Govt. Elementary School Padmanabhan,Ferozepur,Makhu,62,Higher Secondary,punjabi,SCH0478
SCH0311,Govt. Elementary School Sarkar,Amritsar,Amritsar-II,425,Higher Secondary,Hindi,SCH0311
SCH0350,Govt. Primary School Mann,Jalandhar,,292,Upper Primary,hindi,SCH0350
SCH0032,Govt. Senior Secondary School Narang,Bathinda,Maur,218,Upper Primary,hindi,SCH0032
SCH0587,Govt. Senior Secondary School Verma,Jalandhar,Phillaur,321,Upper Primary,Hindi,SCH0587
SCH0507,Govt. Middle School Gola,Ludhiana,Ludhiana-II,170,Primary,English,SCH0507
SCH0569,Govt. Middle School Gill,Bathinda,Rampura Phul,290,upper primary,English,SCH0569
SCH0487,Govt. Senior Secondary School Keer,Bathinda,Bathinda,436,Higher Secondary,hindi,SCH0487
SCH0142,Govt. Senior Secondary School Badami,Bathinda,Rampura Phul,207,Higher Secondary,hindi,SCH0142
SCH0020,Govt. Primary School Soman,amritsar,Amritsar-I,157,Primary,English,SCH0020
SCH0173,Govt. Senior Secondary School Johal,Moga,Moga-II,62,Secondary,punjabi,SCH0173
SCH0484,Govt. Elementary School Hayre,Jalandhar,Jalandhar-I,422,upper primary,hindi,SCH0484
SCH0483,Govt. Middle School Varkey,Sangrur,Sunam,229,Higher Secondary,punjabi,SCH0483
SCH0026,Govt. Elementary School Narayan,,Ludhiana-II,234,Higher Secondary,hindi,SCH0026
SCH0447,Govt. Middle School Dash,Ferozepur,,422,Primary,Punjabi,SCH0447
SCH0590,Govt. Elementary School Khare,Sangrur,,151,Higher Secondary,hindi,SCH0590
SCH0285,Govt. Primary School Chaudhry,Ferozepur,Ferozepur,400,Secondary,hindi,SCH0285
SCH0319,Govt. Primary School Bassi,Ludhiana,Ludhiana-II,84,Primary,Hindi,SCH0319
SCH0246,Govt. Primary School Chaudhari,Patiala,Rajpura,146,Secondary,Hindi,SCH0246
SCH0339,Govt. Elementary School Zacharia,jalandhar,Jalandhar-I,46,upper primary,Punjabi,SCH0339
SCH0155,Govt. Senior Secondary School Chander,Ferozepur,Makhu,169,Upper Primary,English,SCH0155
SCH0127,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,369,Primary,Punjabi,SCH0127
SCH0368,Govt. Elementary School Raman,ferozepur,Zira,323,Higher Secondary,punjabi,SCH0368
SCH0114,Govt. Primary School Randhawa,Sangrur,Malerkotla,422,Primary,Hindi,SCH0114
SCH0174,Govt. Senior Secondary School Lanka,sangrur,,109,higher secondary,Hindi,SCH0174
SCH0058,Govt. Elementary School Savant,Ferozepur,Mamdot,434,Primary,English,SCH0058
SCH0345,Govt. Elementary School Mangal,Ludhiana,Machhiwara,440,Higher Secondary,hindi,SCH0345
SCH0223,Govt. Senior Secondary School Mallick,Bathinda,Maur,47,Secondary,punjabi,SCH0223
SCH0018,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,148,Upper Primary,English,SCH0018
